Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01528-001, June 1990 [1].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01528-002, June 1990 [2].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01528-003, June 1990 [3].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01528-004, July 1990 [1].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01528-005, July 1990 [2].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01528-006, July 1990 [3].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01528-007, July 1990 [4].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01528-008, August 1990 [1].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01528-009, August 1990 [2].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01528-010, August 1990 [3].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01528-011, September 1990 [1].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01528-012, September 1990 [2].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01528-013, September 1990 [3].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01528-014, October 1990 [1].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01528-015, October 1990 [2].
